model_id	modality	label_cn	feature_id	raw_feature	step2_tag
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Marvinbryantia	Marvinbryantia	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Mediterraneibacter	Mediterraneibacter	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Megamonas	Megamonas	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Monoglobus	Monoglobus	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Paludicola	Paludicola	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Parasutterella	Parasutterella	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Romboutsia	Romboutsia	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Streptococcus	Streptococcus	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Sutterellaceae_unclassified	Sutterellaceae_unclassified	run_model_0.4_gut_bacteria_step2
0.4	gut_bacteria	肠道细菌属	Genus_GutBacteria_Weissella	Weissella	run_model_0.4_gut_bacteria_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Ascomycota_gen_Incertae_sedis	Ascomycota_gen_Incertae_sedis	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Bipolaris	Bipolaris	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Blumeria	Blumeria	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Candida	Candida	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Cryptococcus	Cryptococcus	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Dioszegia	Dioszegia	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Fungi_gen_Incertae_sedis	Fungi_gen_Incertae_sedis	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Hanseniaspora	Hanseniaspora	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Komagataella	Komagataella	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Kurtzmaniella	Kurtzmaniella	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Lecanoromycetes_gen_Incertae_sedis	Lecanoromycetes_gen_Incertae_sedis	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Malassezia	Malassezia	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Nakaseomyces	Nakaseomyces	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Penicillium	Penicillium	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Saccharomyces	Saccharomyces	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Saccharomycetales_gen_Incertae_sedis	Saccharomycetales_gen_Incertae_sedis	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Saccharomycetes_gen_Incertae_sedis	Saccharomycetes_gen_Incertae_sedis	run_model_0.5_gut_fungi_step2
0.5	gut_fungi	肠道真菌属	Genus_GutFungi_Yarrowia	Yarrowia	run_model_0.5_gut_fungi_step2
