package	load_name	status	version	library_dir	source_type	profile	message
beeswarm	beeswarm	OK	0.4.0	/usr/local/lib/R/site-library	existing_library	library	
benchmarkme	benchmarkme	MISSING			existing_library	library	不存在叫‘benchmarkme’这个名称的程序包
benchmarkmeData	benchmarkmeData	MISSING			existing_library	library	不存在叫‘benchmarkmeData’这个名称的程序包
BH	BH	OK	1.90.0.1	/usr/local/lib/R/site-library	existing_library	library	
Biobase	Biobase	OK	2.72.0	/usr/local/lib/R/site-library	existing_library	library	
BiocBaseUtils	BiocBaseUtils	OK	1.14.2	/usr/local/lib/R/site-library	existing_library	library	
BiocGenerics	BiocGenerics	OK	0.58.1	/usr/local/lib/R/site-library	existing_library	library	
BiocManager	BiocManager	OK	1.30.27	/usr/local/lib/R/site-library	cran;existing_library	core;library	
BiocNeighbors	BiocNeighbors	OK	2.6.0	/usr/local/lib/R/site-library	existing_library	library	
BiocParallel	BiocParallel	OK	1.46.0	/usr/local/lib/R/site-library	bioconductor;existing_library	full;library	
BiocSingular	BiocSingular	OK	1.28.0	/usr/local/lib/R/site-library	existing_library	library	
BiocVersion	BiocVersion	OK	3.23.1	/usr/local/lib/R/site-library	existing_library	library	
biomaRt	biomaRt	MISSING			bioconductor	full	不存在叫‘biomaRt’这个名称的程序包
biomformat	biomformat	OK	1.40.0	/usr/local/lib/R/site-library	existing_library	library	
Biostrings	Biostrings	OK	2.80.1	/usr/local/lib/R/site-library	bioconductor;existing_library	full;library	
bit	bit	OK	4.6.0	/usr/local/lib/R/site-library	existing_library	library	
bit64	bit64	OK	4.8.2	/usr/local/lib/R/site-library	existing_library	library	
bitops	bitops	OK	1.0.9	/usr/local/lib/R/site-library	existing_library	library	
blob	blob	MISSING			existing_library	library	不存在叫‘blob’这个名称的程序包
bluster	bluster	OK	1.22.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
bookdown	bookdown	MISSING			existing_library	library	不存在叫‘bookdown’这个名称的程序包
boot	boot	OK	1.3.32	/usr/lib/R/library	existing_library	library	
Boruta	Boruta	MISSING			cran;existing_library	full;library	不存在叫‘Boruta’这个名称的程序包
brew	brew	MISSING			existing_library	library	不存在叫‘brew’这个名称的程序包
brio	brio	MISSING			existing_library	library	不存在叫‘brio’这个名称的程序包
broom	broom	OK	1.0.13	/usr/local/lib/R/site-library	cran;existing_library	core;library	
bslib	bslib	OK	0.11.0	/usr/local/lib/R/site-library	existing_library	library	
BWStest	BWStest	MISSING			existing_library	library	不存在叫‘BWStest’这个名称的程序包
cachem	cachem	OK	1.1.0	/usr/local/lib/R/site-library	existing_library	library	
Cairo	Cairo	OK	1.7.0	/usr/local/lib/R/site-library	existing_library	library	
calibrate	calibrate	MISSING			existing_library	library	不存在叫‘calibrate’这个名称的程序包
callr	callr	MISSING			existing_library	library	不存在叫‘callr’这个名称的程序包
car	car	OK	3.1.5	/usr/local/lib/R/site-library	existing_library	library	
carData	carData	OK	3.0.6	/usr/local/lib/R/site-library	existing_library	library	
caret	caret	MISSING			existing_library	library	不存在叫‘caret’这个名称的程序包
caTools	caTools	OK	1.18.3	/usr/local/lib/R/site-library	existing_library	library	
cellranger	cellranger	OK	1.1.0	/usr/local/lib/R/site-library	existing_library	library	
checkmate	checkmate	OK	2.3.4	/usr/local/lib/R/site-library	existing_library	library	
circlize	circlize	MISSING			existing_library	library	不存在叫‘circlize’这个名称的程序包
clarabel	clarabel	MISSING			existing_library	library	不存在叫‘clarabel’这个名称的程序包
class	class	OK	7.3.23	/usr/lib/R/library	existing_library	library	
classInt	classInt	MISSING			existing_library	library	不存在叫‘classInt’这个名称的程序包
cli	cli	OK	3.6.6	/usr/local/lib/R/site-library	existing_library	library	
clipr	clipr	OK	0.8.1	/usr/local/lib/R/site-library	existing_library	library	
clock	clock	MISSING			existing_library	library	不存在叫‘clock’这个名称的程序包
clue	clue	MISSING			existing_library	library	不存在叫‘clue’这个名称的程序包
cluster	cluster	OK	2.1.8.2	/usr/lib/R/library	existing_library	library	
clusterProfiler	clusterProfiler	MISSING			bioconductor;existing_library	full;library	不存在叫‘clusterProfiler’这个名称的程序包
clustree	clustree	MISSING			cran	full	不存在叫‘clustree’这个名称的程序包
cmprsk	cmprsk	OK	2.2.12	/usr/local/lib/R/site-library	existing_library	library	
coda	coda	MISSING			existing_library	library	不存在叫‘coda’这个名称的程序包
codetools	codetools	OK	0.2.20	/usr/lib/R/library	existing_library	library	
collections	collections	MISSING			existing_library	library	不存在叫‘collections’这个名称的程序包
colorspace	colorspace	OK	2.1.2	/usr/local/lib/R/site-library	existing_library	library	
commonmark	commonmark	OK	2.0.0	/usr/local/lib/R/site-library	existing_library	library	
compiler	compiler	OK	4.6.0	/usr/lib/R/library	existing_library	library	
ComplexHeatmap	ComplexHeatmap	MISSING			bioconductor;existing_library	full;library	不存在叫‘ComplexHeatmap’这个名称的程序包
compositions	compositions	MISSING			existing_library	library	不存在叫‘compositions’这个名称的程序包
conflicted	conflicted	MISSING			existing_library	library	不存在叫‘conflicted’这个名称的程序包
contfrac	contfrac	MISSING			existing_library	library	不存在叫‘contfrac’这个名称的程序包
coro	coro	MISSING			existing_library	library	不存在叫‘coro’这个名称的程序包
corpcor	corpcor	MISSING			existing_library	library	不存在叫‘corpcor’这个名称的程序包
correlation	correlation	MISSING			existing_library	library	不存在叫‘correlation’这个名称的程序包
corrplot	corrplot	OK	0.95	/usr/local/lib/R/site-library	existing_library	library	
covr	covr	MISSING			existing_library	library	不存在叫‘covr’这个名称的程序包
cowplot	cowplot	OK	1.2.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
cpp11	cpp11	OK	0.5.5	/usr/local/lib/R/site-library	existing_library	library	
crayon	crayon	OK	1.5.3	/usr/local/lib/R/site-library	existing_library	library	
createKEGGdb	createKEGGdb	MISSING			github	full	不存在叫‘createKEGGdb’这个名称的程序包
credentials	credentials	MISSING			existing_library	library	不存在叫‘credentials’这个名称的程序包
crmn	crmn	MISSING			existing_library	library	不存在叫‘crmn’这个名称的程序包
crosstalk	crosstalk	OK	1.2.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
curl	curl	OK	7.1.0	/usr/local/lib/R/site-library	existing_library	library	
CVST	CVST	MISSING			existing_library	library	不存在叫‘CVST’这个名称的程序包
CVXR	CVXR	MISSING			existing_library	library	不存在叫‘CVXR’这个名称的程序包
data.table	data.table	OK	1.18.4	/usr/local/lib/R/site-library	cran;existing_library	full;library	
data.tree	data.tree	MISSING			existing_library	library	不存在叫‘data.tree’这个名称的程序包
DataExplorer	DataExplorer	MISSING			existing_library	library	不存在叫‘DataExplorer’这个名称的程序包
datasets	datasets	OK	4.6.0	/usr/lib/R/library	existing_library	library	
datawizard	datawizard	MISSING			existing_library	library	不存在叫‘datawizard’这个名称的程序包
DBI	DBI	OK	1.3.0	/usr/local/lib/R/site-library	existing_library	library	
dbplyr	dbplyr	MISSING			existing_library	library	不存在叫‘dbplyr’这个名称的程序包
dbscan	dbscan	MISSING			existing_library	library	不存在叫‘dbscan’这个名称的程序包
DECIPHER	DECIPHER	OK	3.8.0	/usr/local/lib/R/site-library	existing_library	library	
decontam	decontam	OK	1.32.0	/usr/local/lib/R/site-library	existing_library	library	
deeptime	deeptime	MISSING			existing_library	library	不存在叫‘deeptime’这个名称的程序包
deeptimedata	deeptimedata	MISSING			existing_library	library	不存在叫‘deeptimedata’这个名称的程序包
DelayedArray	DelayedArray	OK	0.38.2	/usr/local/lib/R/site-library	existing_library	library	
DelayedMatrixStats	DelayedMatrixStats	OK	1.34.0	/usr/local/lib/R/site-library	existing_library	library	
deldir	deldir	MISSING			existing_library	library	不存在叫‘deldir’这个名称的程序包
dendextend	dendextend	MISSING			existing_library	library	不存在叫‘dendextend’这个名称的程序包
DEoptimR	DEoptimR	OK	1.1.4	/usr/local/lib/R/site-library	existing_library	library	
Deriv	Deriv	OK	4.2.0	/usr/local/lib/R/site-library	existing_library	library	
desc	desc	MISSING			existing_library	library	不存在叫‘desc’这个名称的程序包
DescTools	DescTools	OK	0.99.60	/usr/local/lib/R/site-library	existing_library	library	
DESeq2	DESeq2	OK	1.52.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
deSolve	deSolve	MISSING			existing_library	library	不存在叫‘deSolve’这个名称的程序包
devtools	devtools	MISSING			cran;existing_library	full;library	不存在叫‘devtools’这个名称的程序包
diagram	diagram	OK	1.6.5	/usr/local/lib/R/site-library	existing_library	library	
diffobj	diffobj	MISSING			existing_library	library	不存在叫‘diffobj’这个名称的程序包
digest	digest	OK	0.6.39	/usr/local/lib/R/site-library	existing_library	library	
diptest	diptest	OK	0.77.2	/usr/local/lib/R/site-library	existing_library	library	
directlabels	directlabels	MISSING			existing_library	library	不存在叫‘directlabels’这个名称的程序包
DirichletMultinomial	DirichletMultinomial	OK	1.54.0	/usr/local/lib/R/site-library	existing_library	library	
doBy	doBy	OK	4.7.1	/usr/local/lib/R/site-library	existing_library	library	
docopt	docopt	MISSING			existing_library	library	不存在叫‘docopt’这个名称的程序包
doFuture	doFuture	OK	1.2.2	/usr/local/lib/R/site-library	existing_library	library	
doParallel	doParallel	OK	1.0.17	/usr/local/lib/R/site-library	existing_library	library	
doRNG	doRNG	OK	1.8.6.3	/usr/local/lib/R/site-library	existing_library	library	
DOSE	DOSE	MISSING			existing_library	library	不存在叫‘DOSE’这个名称的程序包
DoubletFinder	DoubletFinder	MISSING			github	full	不存在叫‘DoubletFinder’这个名称的程序包
downlit	downlit	MISSING			existing_library	library	不存在叫‘downlit’这个名称的程序包
downloader	downloader	MISSING			existing_library	library	不存在叫‘downloader’这个名称的程序包
dplyr	dplyr	OK	1.2.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
dqrng	dqrng	OK	0.4.1	/usr/local/lib/R/site-library	existing_library	library	
DT	DT	MISSING			existing_library	library	不存在叫‘DT’这个名称的程序包
dtplyr	dtplyr	MISSING			existing_library	library	不存在叫‘dtplyr’这个名称的程序包
dunn.test	dunn.test	MISSING			existing_library	library	不存在叫‘dunn.test’这个名称的程序包
e1071	e1071	OK	1.7.17	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ecodist	ecodist	MISSING			existing_library	library	不存在叫‘ecodist’这个名称的程序包
ECOSolveR	ECOSolveR	MISSING			existing_library	library	不存在叫‘ECOSolveR’这个名称的程序包
edgeR	edgeR	MISSING			bioconductor;existing_library	full;library	不存在叫‘edgeR’这个名称的程序包
effectsize	effectsize	MISSING			existing_library	library	不存在叫‘effectsize’这个名称的程序包
ellipse	ellipse	MISSING			existing_library	library	不存在叫‘ellipse’这个名称的程序包
ellipsis	ellipsis	MISSING			existing_library	library	不存在叫‘ellipsis’这个名称的程序包
elliptic	elliptic	MISSING			existing_library	library	不存在叫‘elliptic’这个名称的程序包
emmeans	emmeans	MISSING			existing_library	library	不存在叫‘emmeans’这个名称的程序包
energy	energy	OK	1.7.12	/usr/local/lib/R/site-library	existing_library	library	
enrichplot	enrichplot	MISSING			existing_library	library	不存在叫‘enrichplot’这个名称的程序包
estimability	estimability	MISSING			existing_library	library	不存在叫‘estimability’这个名称的程序包
evaluate	evaluate	OK	1.0.5	/usr/local/lib/R/site-library	existing_library	library	
Exact	Exact	OK	3.3	/usr/local/lib/R/site-library	existing_library	library	
expm	expm	OK	1.0.0	/usr/local/lib/R/site-library	existing_library	library	
factoextra	factoextra	MISSING			cran;existing_library	full;library	不存在叫‘factoextra’这个名称的程序包
FactoMineR	FactoMineR	MISSING			cran;existing_library	full;library	不存在叫‘FactoMineR’这个名称的程序包
fansi	fansi	MISSING			existing_library	library	不存在叫‘fansi’这个名称的程序包
farver	farver	OK	2.1.2	/usr/local/lib/R/site-library	existing_library	library	
fastmap	fastmap	OK	1.2.0	/usr/local/lib/R/site-library	existing_library	library	
fastmatch	fastmatch	MISSING			existing_library	library	不存在叫‘fastmatch’这个名称的程序包
fastshap	fastshap	OK	0.1.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
fastVoteR	fastVoteR	MISSING			existing_library	library	不存在叫‘fastVoteR’这个名称的程序包
fgsea	fgsea	MISSING			bioconductor;existing_library	full;library	不存在叫‘fgsea’这个名称的程序包
filelock	filelock	MISSING			existing_library	library	不存在叫‘filelock’这个名称的程序包
fillpattern	fillpattern	MISSING			existing_library	library	不存在叫‘fillpattern’这个名称的程序包
findpython	findpython	MISSING			existing_library	library	不存在叫‘findpython’这个名称的程序包
flashClust	flashClust	MISSING			existing_library	library	不存在叫‘flashClust’这个名称的程序包
flexmix	flexmix	OK	2.3.20	/usr/local/lib/R/site-library	existing_library	library	
FlexParamCurve	FlexParamCurve	MISSING			existing_library	library	不存在叫‘FlexParamCurve’这个名称的程序包
FNN	FNN	OK	1.1.4.1	/usr/local/lib/R/site-library	existing_library	library	
fontawesome	fontawesome	OK	0.5.3	/usr/local/lib/R/site-library	existing_library	library	
fontBitstreamVera	fontBitstreamVera	MISSING			existing_library	library	不存在叫‘fontBitstreamVera’这个名称的程序包
fontLiberation	fontLiberation	MISSING			existing_library	library	不存在叫‘fontLiberation’这个名称的程序包
fontquiver	fontquiver	MISSING			existing_library	library	不存在叫‘fontquiver’这个名称的程序包
forcats	forcats	OK	1.0.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
foreach	foreach	OK	1.5.2	/usr/local/lib/R/site-library	existing_library	library	
forecast	forecast	OK	9.0.2	/usr/local/lib/R/site-library	existing_library	library	
foreign	foreign	OK	0.8.91	/usr/lib/R/library	existing_library	library	
formatR	formatR	OK	1.14	/usr/local/lib/R/site-library	existing_library	library	
Formula	Formula	OK	1.2.5	/usr/local/lib/R/site-library	existing_library	library	
fpc	fpc	OK	2.2.14	/usr/local/lib/R/site-library	existing_library	library	
fracdiff	fracdiff	OK	1.5.4	/usr/local/lib/R/site-library	existing_library	library	
fs	fs	OK	2.1.0	/usr/local/lib/R/site-library	existing_library	library	
FSA	FSA	MISSING			existing_library	library	不存在叫‘FSA’这个名称的程序包
fst	fst	MISSING			existing_library	library	不存在叫‘fst’这个名称的程序包
fstcore	fstcore	MISSING			existing_library	library	不存在叫‘fstcore’这个名称的程序包
futile.logger	futile.logger	OK	1.4.9	/usr/local/lib/R/site-library	existing_library	library	
futile.options	futile.options	OK	1.0.1	/usr/local/lib/R/site-library	existing_library	library	
future	future	OK	1.70.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
future.apply	future.apply	OK	1.20.2	/usr/local/lib/R/site-library	cran;existing_library	full;library	
gargle	gargle	MISSING			existing_library	library	不存在叫‘gargle’这个名称的程序包
gdata	gdata	MISSING			existing_library	library	不存在叫‘gdata’这个名称的程序包
gdtools	gdtools	MISSING			existing_library	library	不存在叫‘gdtools’这个名称的程序包
genefilter	genefilter	MISSING			bioconductor;existing_library	full;library	不存在叫‘genefilter’这个名称的程序包
generics	generics	OK	0.1.4	/usr/local/lib/R/site-library	existing_library	library	
GenomeInfoDb	GenomeInfoDb	MISSING			existing_library	library	不存在叫‘GenomeInfoDb’这个名称的程序包
GenomeInfoDbData	GenomeInfoDbData	MISSING			existing_library	library	不存在叫‘GenomeInfoDbData’这个名称的程序包
GenomicRanges	GenomicRanges	OK	1.64.0	/usr/local/lib/R/site-library	existing_library	library	
gert	gert	MISSING			existing_library	library	不存在叫‘gert’这个名称的程序包
getopt	getopt	MISSING			existing_library	library	不存在叫‘getopt’这个名称的程序包
GetoptLong	GetoptLong	MISSING			existing_library	library	不存在叫‘GetoptLong’这个名称的程序包
ggalluvial	ggalluvial	MISSING			existing_library	library	不存在叫‘ggalluvial’这个名称的程序包
ggbeeswarm	ggbeeswarm	OK	0.7.3	/usr/local/lib/R/site-library	existing_library	library	
ggcorrplot	ggcorrplot	MISSING			existing_library	library	不存在叫‘ggcorrplot’这个名称的程序包
ggfittext	ggfittext	OK	0.10.3	/usr/local/lib/R/site-library	existing_library	library	
ggforce	ggforce	OK	0.5.0	/usr/local/lib/R/site-library	existing_library	library	
ggfortify	ggfortify	MISSING			cran;existing_library	full;library	不存在叫‘ggfortify’这个名称的程序包
ggfun	ggfun	MISSING			existing_library	library	不存在叫‘ggfun’这个名称的程序包
gggenes	gggenes	OK	0.6.0	/usr/local/lib/R/site-library	existing_library	library	
ggh4x	ggh4x	MISSING			existing_library	library	不存在叫‘ggh4x’这个名称的程序包
gghalves	gghalves	MISSING			cran;existing_library	full;library	不存在叫‘gghalves’这个名称的程序包
ggiraph	ggiraph	MISSING			existing_library	library	不存在叫‘ggiraph’这个名称的程序包
ggnewscale	ggnewscale	OK	0.5.2	/usr/local/lib/R/site-library	existing_library	library	
ggplot2	ggplot2	OK	4.0.3	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggplotify	ggplotify	MISSING			existing_library	library	不存在叫‘ggplotify’这个名称的程序包
ggpubr	ggpubr	OK	0.6.3	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggraph	ggraph	OK	2.2.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggrastr	ggrastr	OK	1.0.2	/usr/local/lib/R/site-library	existing_library	library	
ggrepel	ggrepel	OK	0.9.8	/usr/local/lib/R/site-library	cran;existing_library	full;library	
ggsci	ggsci	OK	5.0.0	/usr/local/lib/R/site-library	existing_library	library	
ggside	ggside	OK	0.4.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
ggsignif	ggsignif	OK	0.6.4	/usr/local/lib/R/site-library	existing_library	library	
ggstatsplot	ggstatsplot	MISSING			cran;existing_library	full;library	不存在叫‘ggstatsplot’这个名称的程序包
ggtangle	ggtangle	MISSING			existing_library	library	不存在叫‘ggtangle’这个名称的程序包
ggtext	ggtext	MISSING			existing_library	library	不存在叫‘ggtext’这个名称的程序包
ggtree	ggtree	MISSING			existing_library	library	不存在叫‘ggtree’这个名称的程序包
ggvenn	ggvenn	MISSING			cran;existing_library	full;library	不存在叫‘ggvenn’这个名称的程序包
gh	gh	MISSING			existing_library	library	不存在叫‘gh’这个名称的程序包
gitcreds	gitcreds	MISSING			existing_library	library	不存在叫‘gitcreds’这个名称的程序包
glasso	glasso	MISSING			existing_library	library	不存在叫‘glasso’这个名称的程序包
gld	gld	OK	2.6.8	/usr/local/lib/R/site-library	existing_library	library	
glmnet	glmnet	OK	5.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
GlobalAncova	GlobalAncova	MISSING			bioconductor;existing_library	full;library	不存在叫‘GlobalAncova’这个名称的程序包
GlobalOptions	GlobalOptions	MISSING			existing_library	library	不存在叫‘GlobalOptions’这个名称的程序包
globals	globals	OK	0.19.1	/usr/local/lib/R/site-library	existing_library	library	
globaltest	globaltest	MISSING			bioconductor;existing_library	full;library	不存在叫‘globaltest’这个名称的程序包
glue	glue	OK	1.8.1	/usr/local/lib/R/site-library	existing_library	library	
gmodels	gmodels	MISSING			cran;existing_library	full;library	不存在叫‘gmodels’这个名称的程序包
gmp	gmp	MISSING			existing_library	library	不存在叫‘gmp’这个名称的程序包
GO.db	GO.db	MISSING			existing_library	library	不存在叫‘GO.db’这个名称的程序包
googledrive	googledrive	MISSING			existing_library	library	不存在叫‘googledrive’这个名称的程序包
googlesheets4	googlesheets4	MISSING			existing_library	library	不存在叫‘googlesheets4’这个名称的程序包
GOSemSim	GOSemSim	MISSING			existing_library	library	不存在叫‘GOSemSim’这个名称的程序包
gower	gower	MISSING			existing_library	library	不存在叫‘gower’这个名称的程序包
GPArotation	GPArotation	MISSING			existing_library	library	不存在叫‘GPArotation’这个名称的程序包
gplots	gplots	OK	3.3.0	/usr/local/lib/R/site-library	existing_library	library	
graph	graph	MISSING			existing_library	library	不存在叫‘graph’这个名称的程序包
graphics	graphics	OK	4.6.0	/usr/lib/R/library	existing_library	library	
graphlayouts	graphlayouts	OK	1.2.3	/usr/local/lib/R/site-library	existing_library	library	
grDevices	grDevices	OK	4.6.0	/usr/lib/R/library	existing_library	library	
grid	grid	OK	4.6.0	/usr/lib/R/library	existing_library	library	
gridExtra	gridExtra	OK	2.3	/usr/local/lib/R/site-library	existing_library	library	
gridGraphics	gridGraphics	MISSING			existing_library	library	不存在叫‘gridGraphics’这个名称的程序包
gridtext	gridtext	OK	0.1.6	/usr/local/lib/R/site-library	existing_library	library	
grImport2	grImport2	MISSING			existing_library	library	不存在叫‘grImport2’这个名称的程序包
GSEABase	GSEABase	MISSING			existing_library	library	不存在叫‘GSEABase’这个名称的程序包
GseaVis	GseaVis	MISSING			github	full	不存在叫‘GseaVis’这个名称的程序包
gsl	gsl	OK	2.1.9	/usr/local/lib/R/site-library	existing_library	library	
gson	gson	MISSING			existing_library	library	不存在叫‘gson’这个名称的程序包
gtable	gtable	OK	0.3.6	/usr/local/lib/R/site-library	existing_library	library	
gtools	gtools	OK	3.9.5	/usr/local/lib/R/site-library	existing_library	library	
hardhat	hardhat	MISSING			existing_library	library	不存在叫‘hardhat’这个名称的程序包
harmony	harmony	MISSING			cran	full	不存在叫‘harmony’这个名称的程序包
haven	haven	OK	2.5.5	/usr/local/lib/R/site-library	existing_library	library	
hdf5r	hdf5r	MISSING			cran	full	不存在叫‘hdf5r’这个名称的程序包
highr	highr	OK	0.12	/usr/local/lib/R/site-library	existing_library	library	
highs	highs	MISSING			existing_library	library	不存在叫‘highs’这个名称的程序包
Hmisc	Hmisc	OK	5.2.5	/usr/local/lib/R/site-library	existing_library	library	
hms	hms	OK	1.1.4	/usr/local/lib/R/site-library	existing_library	library	
htmlTable	htmlTable	OK	2.5.0	/usr/local/lib/R/site-library	existing_library	library	
htmltools	htmltools	OK	0.5.9	/usr/local/lib/R/site-library	existing_library	library	
htmlwidgets	htmlwidgets	OK	1.6.4	/usr/local/lib/R/site-library	existing_library	library	
httpuv	httpuv	MISSING			existing_library	library	不存在叫‘httpuv’这个名称的程序包
httr	httr	OK	1.4.8	/usr/local/lib/R/site-library	cran;existing_library	full;library	
httr2	httr2	MISSING			existing_library	library	不存在叫‘httr2’这个名称的程序包
hunspell	hunspell	MISSING			existing_library	library	不存在叫‘hunspell’这个名称的程序包
hypergeo	hypergeo	MISSING			existing_library	library	不存在叫‘hypergeo’这个名称的程序包
ids	ids	MISSING			existing_library	library	不存在叫‘ids’这个名称的程序包
igraph	igraph	OK	2.3.2	/usr/local/lib/R/site-library	existing_library	library	
impute	impute	MISSING			bioconductor;existing_library	full;library	不存在叫‘impute’这个名称的程序包
ini	ini	MISSING			existing_library	library	不存在叫‘ini’这个名称的程序包
insight	insight	MISSING			existing_library	library	不存在叫‘insight’这个名称的程序包
interp	interp	MISSING			existing_library	library	不存在叫‘interp’这个名称的程序包
ipred	ipred	MISSING			existing_library	library	不存在叫‘ipred’这个名称的程序包
IRanges	IRanges	OK	2.46.0	/usr/local/lib/R/site-library	existing_library	library	
irlba	irlba	OK	2.3.7	/usr/local/lib/R/site-library	existing_library	library	
isoband	isoband	OK	0.3.0	/usr/local/lib/R/site-library	existing_library	library	
ISOcodes	ISOcodes	MISSING			existing_library	library	不存在叫‘ISOcodes’这个名称的程序包
iterators	iterators	OK	1.0.14	/usr/local/lib/R/site-library	existing_library	library	
janeaustenr	janeaustenr	MISSING			existing_library	library	不存在叫‘janeaustenr’这个名称的程序包
jpeg	jpeg	OK	0.1.11	/usr/local/lib/R/site-library	existing_library	library	
jquerylib	jquerylib	OK	0.1.4	/usr/local/lib/R/site-library	existing_library	library	
jsonlite	jsonlite	OK	2.0.0	/usr/local/lib/R/site-library	existing_library	library	
kableExtra	kableExtra	MISSING			cran;existing_library	full;library	不存在叫‘kableExtra’这个名称的程序包
KEGG.db	KEGG.db	MISSING			local_or_generated	full	不存在叫‘KEGG.db’这个名称的程序包
KEGGgraph	KEGGgraph	MISSING			bioconductor;existing_library	full;library	不存在叫‘KEGGgraph’这个名称的程序包
KEGGREST	KEGGREST	MISSING			bioconductor;existing_library	full;library	不存在叫‘KEGGREST’这个名称的程序包
kernelshap	kernelshap	OK	0.9.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
kernlab	kernlab	OK	0.9.33	/usr/local/lib/R/site-library	existing_library	library	
KernSmooth	KernSmooth	OK	2.23.26	/usr/lib/R/library	existing_library	library	
keyring	keyring	MISSING			existing_library	library	不存在叫‘keyring’这个名称的程序包
kknn	kknn	OK	1.4.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
knitr	knitr	OK	1.51	/usr/local/lib/R/site-library	existing_library	library	
kSamples	kSamples	OK	1.2.12	/usr/local/lib/R/site-library	cran;existing_library	core;library	
labeling	labeling	OK	0.4.3	/usr/local/lib/R/site-library	existing_library	library	
lambda.r	lambda.r	OK	1.2.4	/usr/local/lib/R/site-library	existing_library	library	
lamW	lamW	MISSING			existing_library	library	不存在叫‘lamW’这个名称的程序包
languageserver	languageserver	MISSING			existing_library	library	不存在叫‘languageserver’这个名称的程序包
later	later	MISSING			existing_library	library	不存在叫‘later’这个名称的程序包
lattice	lattice	OK	0.22.7	/usr/lib/R/library	existing_library	library	
latticeExtra	latticeExtra	MISSING			existing_library	library	不存在叫‘latticeExtra’这个名称的程序包
lava	lava	OK	1.9.1	/usr/local/lib/R/site-library	existing_library	library	
lazyeval	lazyeval	OK	0.2.3	/usr/local/lib/R/site-library	existing_library	library	
leaps	leaps	MISSING			existing_library	library	不存在叫‘leaps’这个名称的程序包
lgr	lgr	OK	0.5.2	/usr/local/lib/R/site-library	cran;existing_library	core;library	
lifecycle	lifecycle	OK	1.0.5	/usr/local/lib/R/site-library	existing_library	library	
lightgbm	lightgbm	OK	4.6.0	/usr/local/lib/R/site-library	cran;existing_library	core;library	
